Tournament 47: Dummy Tournament 4 Groups
[09:20] Court: Court 1  | Round 1 | Group A | Match 859
[09:20] Court: Court 2  | Round 1 | Group A | Match 860
[09:20] Court: Court 3  | Round 1 | Group B | Match 861
[10:00] Court: Court 1  | Round 1 | Group B | Match 862
[10:00] Court: Court 2  | Round 1 | Group C | Match 863
[10:00] Court: Court 3  | Round 1 | Group C | Match 864
[10:40] Court: Court 1  | Round 1 | Group D | Match 865
[10:40] Court: Court 2  | Round 1 | Group D | Match 866
[10:40] Court: Court 3  | Round 2 | Group A | Match 867
[11:20] Court: Court 1  | Round 2 | Group A | Match 868
[11:20] Court: Court 2  | Round 2 | Group C | Match 869
[11:20] Court: Court 3  | Round 2 | Group C | Match 870
[12:00] Court: Court 1  | Round 2 | Group D | Match 871
[12:00] Court: Court 2  | Round 2 | Group D | Match 872
[12:00] Court: Court 3  | Round 2 | Group B | Match 873
[12:40] Court: Court 1  | Round 2 | Group B | Match 874
[12:40] Court: Court 2  | Round 3 | Group C | Match 875
[12:40] Court: Court 3  | Round 3 | Group C | Match 876
[13:20] Court: Court 1  | Round 3 | Group D | Match 877
[13:20] Court: Court 2  | Round 3 | Group D | Match 878
[13:20] Court: Court 3  | Round 3 | Group A | Match 879
[14:00] Court: Court 1  | Round 3 | Group A | Match 880
[14:00] Court: Court 2  | Round 3 | Group B | Match 881
[14:00] Court: Court 3  | Round 3 | Group B | Match 882
[14:40] Court: Court 1  | Round 1 | Group A | Match 883
[14:40] Court: Court 2  | Round 1 | Group A | Match 884
[14:40] Court: Court 3  | Round 1 | Group B | Match 885
[15:20] Court: Court 1  | Round 1 | Group B | Match 886
[15:20] Court: Court 2  | Round 1 | Group C | Match 887
[15:20] Court: Court 3  | Round 1 | Group C | Match 888
[16:00] Court: Court 1  | Round 1 | Group D | Match 889
[16:00] Court: Court 2  | Round 1 | Group D | Match 890
[16:00] Court: Court 3  | Round 2 | Group A | Match 891
[16:40] Court: Court 1  | Round 2 | Group A | Match 892
[16:40] Court: Court 2  | Round 2 | Group C | Match 893
[16:40] Court: Court 3  | Round 2 | Group C | Match 894
[17:20] Court: Court 1  | Round 2 | Group D | Match 895
[17:20] Court: Court 2  | Round 2 | Group D | Match 896
[17:20] Court: Court 3  | Round 2 | Group B | Match 897
[09:00] Court: Court 1  | Round 2 | Group B | Match 898
[09:00] Court: Court 2  | Round 3 | Group C | Match 899
[09:00] Court: Court 3  | Round 3 | Group C | Match 900
[09:40] Court: Court 1  | Round 3 | Group D | Match 901
[09:40] Court: Court 2  | Round 3 | Group D | Match 902
[09:40] Court: Court 3  | Round 3 | Group A | Match 903
[10:20] Court: Court 1  | Round 3 | Group A | Match 904
[10:20] Court: Court 2  | Round 3 | Group B | Match 905
[10:20] Court: Court 3  | Round 3 | Group B | Match 906
[11:00] Court: Court 1  | Round 1 | Group A | Match 907
[11:00] Court: Court 2  | Round 1 | Group A | Match 908
Total Group Stage Matches: 120
